Time, Total, Today, Power, Voltage, Current
"2022-07-24T16:45:04",0.047,0.047,28,226,0.2
"2022-07-24T16:45:09",0.047,0.047,27,226,0.199
"2022-07-24T16:45:15",0.047,0.047,27,226,0.196
"2022-07-24T16:45:20",0.047,0.047,24,225,0.196
"2022-07-24T16:45:25",0.047,0.047,24,225,0.199
"2022-07-24T16:45:30",0.047,0.047,24,224,0.193
"2022-07-24T16:45:35",0.047,0.047,24,224,0.188
"2022-07-24T16:45:40",0.047,0.047,23,225,0.189
"2022-07-24T16:45:45",0.047,0.047,23,225,0.186
"2022-07-24T16:45:50",0.047,0.047,23,225,0.185
"2022-07-24T16:45:56",0.047,0.047,23,226,0.184
"2022-07-24T16:46:01",0.048,0.048,23,226,0.184
